name,vrom_start,vrom_end,rom_start,rom_end,vram_start,overlay_dir
ovl_Bg_Hidan_Syoku,C967B0,C96C10,B78660,B78900,808DDA60,actors
ovl_En_Xc,C96C10,C9D370,B78900,B7B400,808DDEC0,actors
ovl_Bg_Hidan_Curtain,C9D370,C9DE10,B7B400,B7BAE0,808E4650,actors
ovl_Bg_Spot00_Hanebasi,C9DE10,C9EF20,B7BAE0,B7C670,808E50F0,actors
ovl_En_Mb,C9EF20,CA3150,B7C670,B7EAB0,808E6200,actors
ovl_En_Bombf,CA3150,CA45E0,B7EAB0,B7F820,808EA430,actors
ovl_Bg_Hidan_Firewall,CA45E0,CA4D40,B7F820,B7FD30,808EB8C0,actors
ovl_Bg_Dy_Yoseizo,CA4D40,CA7B30,B7FD30,B817E0,808EC020,actors
ovl_En_Zl2,CA7B30,CAC230,B817E0,B834B0,808EEE10,actors
ovl_Bg_Hidan_Fslift,CAC230,CAC700,B834B0,B837B0,808F3510,actors
ovl_En_OE2,CAC700,CAC7E0,B837B0,B83830,808F39E0,actors
ovl_Bg_Ydan_Hasi,CAC7E0,CACF90,B83830,B83D40,808F3AC0,actors
ovl_Bg_Ydan_Maruta,CACF90,CAD670,B83D40,B841D0,808F4270,actors
ovl_Boss_Ganondrof,CAD670,CB2400,B841D0,B86CE0,808F4950,actors
ovl_En_Am,CB2400,CB4800,B86CE0,B88160,808F96E0,actors
ovl_En_Dekubaba,CB4800,CB82B0,B88160,B8A190,808FBAE0,actors
ovl_En_M_Fire1,CB82B0,CB8450,B8A190,B8A2C0,808FF590,actors
ovl_En_M_Thunder,CB8450,CB9A50,B8A2C0,B8B070,808FF730,actors
ovl_Bg_Ddan_Jd,CB9A50,CBA0A0,B8B070,B8B4A0,80900D30,actors
ovl_Bg_Breakwall,CBA0A0,CBAF10,B8B4A0,B8BE10,80901380,actors
ovl_En_Jj,CBAF10,CBC4E0,B8BE10,B8C890,809021F0,actors
ovl_En_Horse_Zelda,CBC4E0,CBCFD0,B8C890,B8CFF0,809037C0,actors
ovl_Bg_Ddan_Kd,CBCFD0,CBD8C0,B8CFF0,B8D5A0,809042B0,actors
ovl_Door_Warp1,CBD8C0,CC1BC0,B8D5A0,B8F6A0,80904BA0,actors
ovl_Obj_Syokudai,CC1BC0,CC2800,B8F6A0,B8FF20,80908EB0,actors
ovl_Item_B_Heart,CC2800,CC2C10,B8FF20,B90200,80909B00,actors
ovl_En_Dekunuts,CC2C10,CC4410,B90200,B90F60,80909F10,actors
ovl_Bg_Menkuri_Kaiten,CC4410,CC45A0,B90F60,B91090,8090B710,actors
ovl_Bg_Menkuri_Eye,CC45A0,CC4A30,B91090,B913C0,8090B8A0,actors
ovl_En_Vali,CC4A30,CC70F0,B913C0,B92A60,8090BD40,actors
ovl_Bg_Mizu_Movebg,CC70F0,CC8270,B92A60,B934F0,8090E400,actors
ovl_Bg_Mizu_Water,CC8270,CC8F40,B934F0,B93C70,8090F590,actors
ovl_Arms_Hook,CC8F40,CC9CB0,B93C70,B94520,80910260,actors
ovl_En_fHG,CC9CB0,CCC5E0,B94520,B95C80,80910FD0,actors
ovl_Bg_Mori_Hineri,CCC5E0,CCD330,B95C80,B964C0,80913900,actors
ovl_En_Bb,CCD330,CD1010,B964C0,B98950,80914650,actors
ovl_Bg_Toki_Hikari,CD1010,CD1DB0,B98950,B99070,80918330,actors
ovl_En_Yukabyun,CD1DB0,CD23C0,B99070,B994E0,809190D0,actors
ovl_Bg_Toki_Swd,CD23C0,CD3A10,B994E0,B99DB0,809196E0,actors
ovl_En_Fhg_Fire,CD3A10,CD60B0,B99DB0,B9B520,8091AD30,actors
ovl_Bg_Mjin,CD60B0,CD64A0,B9B520,B9B7F0,8091D3D0,actors
ovl_Bg_Hidan_Kousi,CD64A0,CD6A30,B9B7F0,B9BB80,8091D7C0,actors
ovl_Door_Toki,CD6A30,CD6B90,B9BB80,B9BC80,8091DD50,actors
ovl_Bg_Hidan_Hamstep,CD6B90,CD7A40,B9BC80,B9C5E0,8091DEB0,actors
ovl_En_Bird,CD7A40,CD7F00,B9C5E0,B9C920,8091ED60,actors
ovl_En_Wood02,CD7F00,CD90D0,B9C920,B9D4C0,8091F220,actors
ovl_En_Lightbox,CD90D0,CD9550,B9D4C0,B9D800,80920400,actors
ovl_En_Pu_box,CD9550,CD9890,B9D800,B9DA60,80920880,actors
ovl_En_Trap,CD9890,CDAB30,B9DA60,B9E4B0,80920BC0,actors
ovl_En_Arow_Trap,CDAB30,CDAC80,B9E4B0,B9E5D0,80921E60,actors
ovl_En_Vase,CDAC80,CDAD80,B9E5D0,B9E690,80921FB0,actors
ovl_En_Ta,CDAD80,CDE740,B9E690,BA0470,809220B0,actors
ovl_En_Tk,CDE740,CE0570,BA0470,BA1710,80925A70,actors
ovl_Bg_Mori_Bigst,CE0570,CE0EA0,BA1710,BA1C80,809278A0,actors
ovl_Bg_Mori_Elevator,CE0EA0,CE1990,BA1C80,BA22B0,809281D0,actors
ovl_Bg_Mori_Kaitenkabe,CE1990,CE2000,BA22B0,BA2720,80928CC0,actors
ovl_Bg_Mori_Rakkatenjo,CE2000,CE2980,BA2720,BA2CD0,80929330,actors
ovl_En_Vm,CE2980,CE4240,BA2CD0,BA3BB0,80929CB0,actors
ovl_Demo_Effect,CE4240,CE9DE0,BA3BB0,BA6D90,8092B570,actors
ovl_Demo_Kankyo,CE9DE0,CEDA80,BA6D90,BA8C80,80931110,actors
ovl_Bg_Hidan_Fwbig,CEDA80,CEE760,BA8C80,BA9520,80934E00,actors
ovl_En_Floormas,CEE760,CF1B40,BA9520,BAB060,80935AE0,actors
ovl_En_Heishi1,CF1B40,CF3050,BAB060,BABC80,80938EC0,actors
ovl_En_Rd,CF3050,CF5910,BABC80,BAD2A0,8093A3D0,actors
ovl_En_Po_Sisters,CF5910,CFA600,BAD2A0,BAFCF0,8093CC90,actors
ovl_Bg_Heavy_Block,CFA600,CFBEF0,BAFCF0,BB0C40,80941980,actors
ovl_Bg_Po_Event,CFBEF0,CFDD20,BB0C40,BB1F30,80943270,actors
ovl_Obj_Mure,CFDD20,CFED30,BB1F30,BB2890,809450B0,actors
ovl_En_Sw,CFED30,D024A0,BB2890,BB4A40,809460C0,actors
ovl_Boss_Fd,D024A0,D09800,BB4A40,BB8AF0,809498B0,actors
ovl_Object_Kankyo,D09800,D0CA80,BB8AF0,BBA8B0,80950C10,actors
ovl_En_Du,D0CA80,D0E510,BBA8B0,BBB820,80953E90,actors
ovl_En_Fd,D0E510,D111B0,BBB820,BBD3D0,80955920,actors
ovl_En_Horse_Link_Child,D111B0,D12FB0,BBD3D0,BBE350,809585C0,actors
ovl_Door_Ana,D12FB0,D13620,BBE350,BBE7D0,8095A3C0,actors
ovl_Bg_Spot02_Objects,D13620,D14980,BBE7D0,BBF3A0,8095AA30,actors
ovl_Bg_Haka,D14980,D15040,BBF3A0,BBF860,8095BD90,actors
ovl_Magic_Wind,D15040,D16D40,BBF860,BC0F20,8095C450,actors
ovl_Magic_Fire,D16D40,D19040,BC0F20,BC2B20,8095E150,actors
ovl_En_Ru1,D19040,D206E0,BC2B20,BC5F20,80960450,actors
ovl_Boss_Fd2,D206E0,D24410,BC5F20,BC83D0,80967AF0,actors
ovl_En_Fd_Fire,D24410,D25120,BC83D0,BC8CD0,8096B820,actors
ovl_En_Dh,D25120,D26C00,BC8CD0,BC9D70,8096C530,actors
ovl_En_Dha,D26C00,D27C00,BC9D70,BCA750,8096E010,actors
ovl_En_Rl,D27C00,D28AE0,BCA750,BCAEE0,8096F010,actors
ovl_En_Encount1,D28AE0,D29640,BCAEE0,BCB6B0,8096FEF0,actors
ovl_Demo_Du,D29640,D2CE20,BCB6B0,BCCE20,80970A50,actors
ovl_Demo_Im,D2CE20,D30D90,BCCE20,BCE8A0,80974230,actors
ovl_Demo_Tre_Lgt,D30D90,D314A0,BCE8A0,BCED80,809781A0,actors
ovl_En_Fw,D314A0,D32C60,BCED80,BCFD90,809788B0,actors
ovl_Bg_Vb_Sima,D32C60,D33380,BCFD90,BD02B0,8097A070,actors
ovl_En_Vb_Ball,D33380,D34530,BD02B0,BD0DF0,8097A790,actors
ovl_Bg_Haka_Megane,D34530,D34930,BD0DF0,BD10B0,8097B940,actors
ovl_Bg_Haka_MeganeBG,D34930,D34FF0,BD10B0,BD1510,8097BD40,actors
ovl_Bg_Haka_Ship,D34FF0,D35A40,BD1510,BD1BE0,8097C400,actors
ovl_Bg_Haka_Sgami,D35A40,D36660,BD1BE0,BD23D0,8097CE50,actors
ovl_En_Heishi2,D36660,D38860,BD23D0,BD3570,8097DA70,actors
ovl_En_Encount2,D38860,D39A90,BD3570,BD4140,8097FC70,actors
ovl_En_Fire_Rock,D39A90,D3ABA0,BD4140,BD4BB0,80980EA0,actors
ovl_En_Brob,D3ABA0,D3BC90,BD4BB0,BD5610,80981FB0,actors
ovl_Mir_Ray,D3BC90,D3D540,BD5610,BD66B0,809830A0,actors
ovl_Bg_Spot09_Obj,D3D540,D3DA60,BD66B0,BD69E0,80984950,actors
ovl_Bg_Spot18_Obj,D3DA60,D3E330,BD69E0,BD6F20,80984E70,actors
ovl_Boss_Va,D3E330,D4CBC0,BD6F20,BDEBF0,80985740,actors
ovl_Bg_Haka_Tubo,D4CBC0,D4D5E0,BDEBF0,BDF2D0,8099C9D0,actors
ovl_Bg_Haka_Trap,D4D5E0,D4EBB0,BDF2D0,BE0060,8099D3F0,actors
ovl_Bg_Haka_Huta,D4EBB0,D4F650,BE0060,BE0760,8099E9C0,actors
ovl_Bg_Haka_Zou,D4F650,D50840,BE0760,BE12E0,8099F460,actors
ovl_Bg_Spot17_Funen,D50840,D50A90,BE12E0,BE14A0,809A0650,actors
ovl_En_Syateki_Itm,D50A90,D51830,BE14A0,BE1D30,809A08A0,actors
ovl_En_Syateki_Man,D51830,D525F0,BE1D30,BE25B0,809A1640,actors
ovl_En_Tana,D525F0,D528A0,BE25B0,BE2790,809A2400,actors
ovl_En_Nb,D528A0,D56E70,BE2790,BE4570,809A26B0,actors
ovl_Boss_Mo,D56E70,D62940,BE4570,BEB300,809A6C80,actors
ovl_En_Sb,D62940,D63D80,BEB300,BEBE70,809B7260,actors
ovl_En_Bigokuta,D63D80,D66880,BEBE70,BED740,809B86A0,actors
ovl_En_Karebaba,D66880,D68170,BED740,BEE610,809BB1A0,actors
ovl_Bg_Bdan_Objects,D68170,D69440,BEE610,BEF150,809BCA90,actors
ovl_Demo_Sa,D69440,D6BF60,BEF150,BF03C0,809BDD60,actors
ovl_Demo_Go,D6BF60,D6CCB0,BF03C0,BF0B70,809C0880,actors
ovl_En_In,D6CCB0,D6FA50,BF0B70,BF2750,809C15D0,actors
ovl_En_Tr,D6FA50,D71350,BF2750,BF3690,809C4370,actors
ovl_Bg_Spot16_Bombstone,D71350,D728A0,BF3690,BF4490,809C5C70,actors
ovl_Bg_Hidan_Kowarerukabe,D728A0,D73780,BF4490,BF4CE0,809C71C0,actors
ovl_Bg_Bombwall,D73780,D74040,BF4CE0,BF52A0,809C80A0,actors
ovl_En_Ru2,D74040,D76DC0,BF52A0,BF65C0,809C8960,actors
ovl_Obj_Dekujr,D76DC0,D77400,BF65C0,BF6A10,809CB6E0,actors
ovl_Bg_Mizu_Uzu,D77400,D775D0,BF6A10,BF6B70,809CBD20,actors
ovl_Bg_Spot06_Objects,D775D0,D789D0,BF6B70,BF7840,809CBEF0,actors
ovl_Bg_Ice_Objects,D789D0,D79910,BF7840,BF80C0,809CD2F0,actors
ovl_Bg_Haka_Water,D79910,D7A110,BF80C0,BF85A0,809CE230,actors
ovl_En_Ma2,D7A110,D7B170,BF85A0,BF9020,809CEA30,actors
ovl_En_Bom_Chu,D7B170,D7C810,BF9020,BF9F10,809CFA90,actors
ovl_En_Horse_Game_Check,D7C810,D7D8E0,BF9F10,BFA960,809D1130,actors
ovl_Boss_Tw,D7D8E0,D90A30,BFA960,C04CE0,809D2200,actors
ovl_En_Rr,D90A30,D92F60,C04CE0,C06350,809E7DD0,actors
ovl_En_Ba,D92F60,D94E30,C06350,C07490,809EA300,actors
ovl_En_Bx,D94E30,D95930,C07490,C07C60,809EC1D0,actors
ovl_En_Anubice,D95930,D96BE0,C07C60,C08810,809ECCD0,actors
ovl_En_Anubice_Fire,D96BE0,D979A0,C08810,C09180,809EDF80,actors
ovl_Bg_Mori_Hashigo,D979A0,D98260,C09180,C09700,809EED40,actors
ovl_Bg_Mori_Hashira4,D98260,D987E0,C09700,C09AA0,809EF600,actors
ovl_Bg_Mori_Idomizu,D987E0,D98E20,C09AA0,C09EC0,809EFB90,actors
ovl_Bg_Spot16_Doughnut,D98E20,D993E0,C09EC0,C0A2C0,809F01D0,actors
ovl_Bg_Bdan_Switch,D993E0,D9A810,C0A2C0,C0ACC0,809F0790,actors
ovl_En_Ma1,D9A810,D9BAF0,C0ACC0,C0B870,809F1BC0,actors
ovl_Boss_Ganon,D9BAF0,DBDDA0,C0B870,C1E5A0,809F2EA0,actors
ovl_Boss_Sst,DBDDA0,DCA330,C1E5A0,C24DB0,80A18CD0,actors
ovl_En_Ny,DCA330,DCBC70,C24DB0,C25D40,80A252A0,actors
ovl_En_Fr,DCBC70,DCE700,C25D40,C276B0,80A26BE0,actors
ovl_Item_Shield,DCE700,DCF110,C276B0,C27D70,80A29670,actors
ovl_Bg_Ice_Shelter,DCF110,DD0350,C27D70,C28900,80A2A080,actors
ovl_En_Ice_Hono,DD0350,DD1540,C28900,C293E0,80A2B2C0,actors
ovl_Item_Ocarina,DD1540,DD1D10,C293E0,C298C0,80A2C4B0,actors
ovl_Magic_Dark,DD1D10,DD3560,C298C0,C2A9A0,80A2CC80,actors
ovl_Demo_6K,DD3560,DD62C0,C2A9A0,C2C5E0,80A2E4D0,actors
ovl_En_Anubice_Tag,DD62C0,DD6590,C2C5E0,C2C7F0,80A31230,actors
ovl_Bg_Haka_Gate,DD6590,DD7620,C2C7F0,C2D290,80A31500,actors
ovl_Bg_Spot15_Saku,DD7620,DD7960,C2D290,C2D4F0,80A325A0,actors
ovl_Bg_Jya_Goroiwa,DD7960,DD80E0,C2D4F0,C2DA20,80A328E0,actors
ovl_Bg_Jya_Zurerukabe,DD80E0,DD8790,C2DA20,C2DE80,80A33060,actors
ovl_Bg_Jya_Cobra,DD8790,DDA4D0,C2DE80,C2F0B0,80A33710,actors
ovl_Bg_Jya_Kanaami,DDA4D0,DDA880,C2F0B0,C2F330,80A35450,actors
ovl_Fishing,DDA880,DECD10,C2F330,C38420,80A35800,actors
ovl_Obj_Oshihiki,DECD10,DEE7C0,C38420,C393D0,80A4ED40,actors
ovl_Bg_Gate_Shutter,DEE7C0,DEEC50,C393D0,C396C0,80A507F0,actors
ovl_Eff_Dust,DEEC50,DF0020,C396C0,C3A0E0,80A50C80,actors
ovl_Bg_Spot01_Fusya,DF0020,DF02C0,C3A0E0,C3A2E0,80A52050,actors
ovl_Bg_Spot01_Idohashira,DF02C0,DF0EC0,C3A2E0,C3AA70,80A522F0,actors
ovl_Bg_Spot01_Idomizu,DF0EC0,DF11E0,C3AA70,C3ACD0,80A52EF0,actors
ovl_Bg_Po_Syokudai,DF11E0,DF1B50,C3ACD0,C3B320,80A53210,actors
ovl_Bg_Ganon_Otyuka,DF1B50,DF4190,C3B320,C3CCA0,80A53B80,actors
ovl_Bg_Spot15_Rrbox,DF4190,DF4F70,C3CCA0,C3D500,80A561C0,actors
ovl_Bg_Umajump,DF4F70,DF5100,C3D500,C3D630,80A56FA0,actors
ovl_En_Insect,DF5100,DF7620,C3D630,C3EB20,80A57130,actors
ovl_En_Butte,DF7620,DF8BF0,C3EB20,C3F870,80A59650,actors
ovl_En_Fish,DF8BF0,DFAD00,C3F870,C40A30,80A5AC20,actors
ovl_Bg_Spot08_Iceblock,DFAD00,DFBD40,C40A30,C413B0,80A5CD30,actors
ovl_Item_Etcetera,DFBD40,DFC610,C413B0,C41920,80A5DD70,actors
ovl_Arrow_Fire,DFC610,DFE4F0,C41920,C430F0,80A5E640,actors
ovl_Arrow_Ice,DFE4F0,E003F0,C430F0,C446A0,80A60520,actors
ovl_Arrow_Light,E003F0,E02300,C446A0,C45CD0,80A62420,actors
ovl_Obj_Kibako,E02300,E03000,C45CD0,C46440,80A64330,actors
ovl_Obj_Tsubo,E03000,E03FF0,C46440,C46DD0,80A65030,actors
ovl_En_Wonder_Item,E03FF0,E04C40,C46DD0,C47520,80A66020,actors
ovl_En_Ik,E04C40,E09290,C47520,C497E0,80A66D50,actors
ovl_Demo_Ik,E09290,E0A7A0,C497E0,C4A2D0,80A6B3B0,actors
ovl_En_Skj,E0A7A0,E0E0E0,C4A2D0,C4C0E0,80A6C8C0,actors
ovl_En_Skjneedle,E0E0E0,E0E3F0,C4C0E0,C4C320,80A70210,actors
ovl_En_G_Switch,E0E3F0,E0FC10,C4C320,C4D2D0,80A70520,actors
ovl_Demo_Ext,E0FC10,E10560,C4D2D0,C4D8D0,80A71D40,actors
ovl_Demo_Shd,E10560,E12970,C4D8D0,C4EE30,80A72690,actors
ovl_En_Dns,E12970,E13D00,C4EE30,C4F900,80A74AA0,actors
ovl_Elf_Msg,E13D00,E142F0,C4F900,C4FCB0,80A75E30,actors
ovl_En_Honotrap,E142F0,E15850,C4FCB0,C50A20,80A76420,actors
ovl_En_Tubo_Trap,E15850,E164F0,C50A20,C511C0,80A77980,actors
ovl_Obj_Ice_Poly,E164F0,E16EA0,C511C0,C51850,80A78620,actors
ovl_Bg_Spot03_Taki,E16EA0,E177C0,C51850,C51E00,80A78FD0,actors
ovl_Bg_Spot07_Taki,E177C0,E17DB0,C51E00,C521C0,80A798F0,actors
ovl_En_Fz,E17DB0,E19DC0,C521C0,C534E0,80A79EE0,actors
ovl_En_Po_Relay,E19DC0,E1B4D0,C534E0,C543A0,80A7BEF0,actors
ovl_Bg_Relay_Objects,E1B4D0,E1BC80,C543A0,C548B0,80A7D600,actors
ovl_En_Diving_Game,E1BC80,E1D630,C548B0,C55800,80A7DDB0,actors
ovl_En_Kusa,E1D630,E1EB10,C55800,C564E0,80A7F760,actors
ovl_Obj_Bean,E1EB10,E212A0,C564E0,C57A00,80A80C40,actors
ovl_Obj_Bombiwa,E212A0,E21810,C57A00,C57DF0,80A833D0,actors
ovl_Obj_Switch,E21810,E235F0,C57DF0,C58DF0,80A83940,actors
ovl_Obj_Elevator,E235F0,E239B0,C58DF0,C59070,80A85720,actors
ovl_Obj_Lift,E239B0,E243D0,C59070,C59750,80A85AE0,actors
ovl_Obj_Hsblock,E243D0,E249A0,C59750,C59B30,80A86500,actors
ovl_En_Okarina_Tag,E249A0,E25EA0,C59B30,C5A570,80A86AD0,actors
ovl_En_Yabusame_Mark,E25EA0,E26570,C5A570,C5A9D0,80A87FD0,actors
ovl_En_Goroiwa,E26570,E28930,C5A9D0,C5BF50,80A886A0,actors
ovl_En_Ex_Ruppy,E28930,E299F0,C5BF50,C5C9F0,80A8AA60,actors
ovl_En_Toryo,E299F0,E2A680,C5C9F0,C5D1A0,80A8BB20,actors
ovl_En_Daiku,E2A680,E2BDC0,C5D1A0,C5E0C0,80A8C7B0,actors
ovl_En_Nwc,E2BDC0,E2C7E0,C5E0C0,C5E7E0,80A8DEF0,actors
ovl_En_Blkobj,E2C7E0,E2CD40,C5E7E0,C5EBA0,80A8E910,actors
ovl_Item_Inbox,E2CD40,E2CEA0,C5EBA0,C5EC90,80A8EE70,actors
ovl_En_Ge1,E2CEA0,E2EED0,C5EC90,C5FDC0,80A8EFD0,actors
ovl_Obj_Blockstop,E2EED0,E2F070,C5FDC0,C5FF00,80A91000,actors
ovl_En_Sda,E2F070,E306A0,C5FF00,C60BA0,80A911A0,actors
ovl_En_Clear_Tag,E306A0,E39210,C60BA0,C64720,80A92890,actors
ovl_En_Niw_Lady,E39210,E3AB10,C64720,C65630,80A9DE30,actors
ovl_En_Gm,E3AB10,E3B840,C65630,C65EB0,80A9F730,actors
ovl_En_Ms,E3B840,E3BF30,C65EB0,C66370,80AA0460,actors
ovl_En_Hs,E3BF30,E3CAD0,C66370,C66A60,80AA0B50,actors
ovl_Bg_Ingate,E3CAD0,E3CE60,C66A60,C66CF0,80AA16F0,actors
ovl_En_Kanban,E3CE60,E3FFB0,C66CF0,C68660,80AA1A80,actors
ovl_En_Heishi3,E3FFB0,E40980,C68660,C68C60,80AA4BD0,actors
ovl_En_Syateki_Niw,E40980,E42A10,C68C60,C6A060,80AA55A0,actors
ovl_En_Attack_Niw,E42A10,E43C70,C6A060,C6ABA0,80AA7630,actors
ovl_Bg_Spot01_Idosoko,E43C70,E43E80,C6ABA0,C6AD20,80AA8890,actors
ovl_En_Sa,E43E80,E460F0,C6AD20,C6BFE0,80AA8AA0,actors
ovl_En_Wonder_Talk,E460F0,E46780,C6BFE0,C6C450,80AAAD10,actors
ovl_Bg_Gjyo_Bridge,E46780,E46C70,C6C450,C6C7E0,80AAB3A0,actors
ovl_En_Ds,E46C70,E47890,C6C7E0,C6CF10,80AAB890,actors
ovl_En_Mk,E47890,E48720,C6CF10,C6D770,80AAC4B0,actors
ovl_En_Bom_Bowl_Man,E48720,E49C60,C6D770,C6E4B0,80AAD340,actors
ovl_En_Bom_Bowl_Pit,E49C60,E4A5D0,C6E4B0,C6EAD0,80AAE880,actors
ovl_En_Owl,E4A5D0,E4E170,C6EAD0,C707E0,80AAF1F0,actors
ovl_En_Ishi,E4E170,E572C0,C707E0,C717A0,80AB2D90,actors
ovl_Obj_Hana,E572C0,E575D0,C717A0,C719C0,80ABBEE0,actors
ovl_Obj_Lightswitch,E575D0,E58A00,C719C0,C72570,80ABC1F0,actors
ovl_Obj_Mure2,E58A00,E59420,C72570,C72BB0,80ABD620,actors
ovl_En_Go,E59420,E5DA60,C72BB0,C75160,80ABE040,actors
ovl_En_Fu,E5DA60,E5E7A0,C75160,C75A10,80AC2680,actors
ovl_En_Changer,E5E7A0,E5F180,C75A10,C76020,80AC33D0,actors
ovl_Bg_Jya_Megami,E5F180,E60370,C76020,C76CA0,80AC3DB0,actors
ovl_Bg_Jya_Lift,E60370,E608C0,C76CA0,C77040,80AC4FA0,actors
ovl_Bg_Jya_Bigmirror,E608C0,E61110,C77040,C77610,80AC54F0,actors
ovl_Bg_Jya_Bombchuiwa,E61110,E61C50,C77610,C77D40,80AC5D40,actors
ovl_Bg_Jya_Amishutter,E61C50,E61FE0,C77D40,C77F40,80AC6880,actors
ovl_Bg_Jya_Bombiwa,E61FE0,E625A0,C77F40,C78350,80AC6C10,actors
ovl_Bg_Spot18_Basket,E625A0,E63590,C78350,C78D60,80AC71D0,actors
ovl_En_Ganon_Organ,E63590,E6A5D0,C78D60,C7BCA0,80AC81C0,actors
ovl_En_Siofuki,E6A5D0,E6B380,C7BCA0,C7C530,80ACF200,actors
